,Date,TotalCash,TotalValue
1782,2007-02-06,99947.8125,99990.75249862671
1783,2007-02-07,99947.8125,99990.35250091553
1784,2007-02-08,99947.8125,99990.36249923706
1785,2007-02-09,99947.8125,99990.93249893188
1786,2007-02-12,99947.8125,99991.10250091553
1787,2007-02-13,99947.8125,99990.95249938965
1788,2007-02-14,99947.8125,99990.21250152588
1789,2007-02-15,99947.8125,99989.95249938965
1790,2007-02-16,99947.8125,99990.10250091553
1791,2007-02-20,99947.8125,99989.76250076294
1792,2007-02-21,99947.8125,99989.62250137329
1793,2007-02-22,99947.8125,99989.39250183105
1794,2007-02-23,99947.8125,99989.55250167847
1795,2007-02-26,99947.8125,99989.77249908447
1796,2007-02-27,99947.8125,99991.62250137329
1797,2007-02-28,99947.8125,99991.48249816895
1798,2007-03-01,99947.8125,99991.68249893188
1799,2007-03-02,99947.8125,99992.33250045776
1800,2007-03-05,99947.8125,99992.66249847412
1801,2007-03-06,99947.8125,99991.96250152588
1802,2007-03-07,99947.8125,99992.13249969482
1803,2007-03-08,99947.8125,99991.8424987793
1804,2007-03-09,99947.8125,99991.88249969482
1805,2007-03-12,99947.8125,99991.60250091553
1806,2007-03-13,99947.8125,99992.44250106812
1807,2007-03-14,99947.8125,99991.82249832153
1808,2007-03-15,99947.8125,99991.92250061035
1809,2007-03-16,99947.8125,99991.98249816895
1810,2007-03-19,99947.8125,99991.54249954224
1811,2007-03-20,99947.8125,99991.23249816895
1812,2007-03-21,99947.8125,99990.39250183105
1813,2007-03-22,99947.8125,99990.55250167847
1814,2007-03-23,99947.8125,99990.69250106812
1815,2007-03-26,99947.8125,99990.51250076294
1816,2007-03-27,99947.8125,99990.82249832153
1817,2007-03-28,99947.8125,99991.29249954224
1818,2007-03-29,99947.8125,99991.24250030518
1819,2007-03-30,99947.8125,99991.2825012207
1820,2007-04-02,99947.8125,99991.22249984741
1821,2007-04-03,99947.8125,99990.65250015259
1822,2007-04-04,99947.8125,99990.47249984741
1823,2007-04-05,99947.8125,99990.25249862671
1824,2007-04-09,99947.8125,99990.36249923706
1825,2007-04-10,99947.8125,99990.13249969482
1826,2007-04-11,99947.8125,99990.60250091553
1827,2007-04-12,99947.8125,99990.25249862671
1828,2007-04-13,99947.8125,99990.16249847412
1829,2007-04-16,99947.8125,99989.75249862671
1830,2007-04-17,99947.8125,99989.65250015259
1831,2007-04-18,99947.8125,99989.80250167847
1832,2007-04-19,99947.8125,99989.66249847412
1833,2007-04-20,99947.8125,99989.41249847412
1834,2007-04-23,99947.8125,99989.3424987793
1835,2007-04-24,99947.8125,99989.11249923706
