,Date,Positive,Negative
0,2000-10-17,,-22.9375
1,2002-03-22,,-3.800003000000004
2,2002-04-16,,-20.399993999999992
3,2003-04-25,19.01999699999999,
4,2004-07-30,2.180000000000007,
5,2004-09-22,,-1.4800029999999964
6,2004-10-15,5.960005999999993,
7,2004-11-08,,-0.050002999999989584
8,2005-05-11,1.1599959999999925,
9,2005-05-18,0.20000500000000443,
10,2005-10-21,5.059996999999996,
11,2005-11-11,2.0500040000000013,
12,2006-06-19,4.789999999999992,
13,2006-08-18,17.14999400000002,
14,2007-08-23,0.6200109999999768,
15,2007-09-14,,-3.530013999999994
16,2007-11-26,,-49.849991
17,2009-06-11,10.989998,
18,2010-06-08,9.48000300000001,
19,2010-09-30,0.20999899999999627,
20,2011-08-10,14.820000000000007,
21,2012-01-17,65.34999099999999,
22,2015-08-25,13.450012000000015,
23,2015-11-11,,-3.160004000000015
24,2015-12-24,0.5800020000000075,
25,2016-03-30,65.300003,
26,2018-11-01,8.839995999999985,
27,2019-03-01,,-35.40000899999998
28,2020-03-17,76.38001999999997,
29,2020-06-10,115.90997400000003,
30,2022-02-18,0.7000119999999583,
31,2022-04-13,10.510010000000023,
32,2022-04-21,,0.0
