,Date,TotalCash,TotalValue
4789,2019-01-16,99861.5625,100143.782501
4790,2019-01-17,99861.5625,100141.80252099999
4791,2019-01-18,99861.5625,100138.30252099999
4792,2019-01-22,99861.5625,100141.902527
4793,2019-01-23,99861.5625,100141.352508
4794,2019-01-24,99861.5625,100141.21252399999
4795,2019-01-25,99861.5625,100138.982513
4796,2019-01-28,99861.5625,100141.00250199999
4797,2019-01-29,99861.5625,100141.352508
4798,2019-01-30,99861.5625,100137.182525
4799,2019-01-31,99861.5625,100134.83251899999
4800,2019-02-01,99861.5625,100134.70251399999
4801,2019-02-04,99861.5625,100132.80252099999
4802,2019-02-05,99861.5625,100131.662506
4803,2019-02-06,99861.5625,100132.022522
4804,2019-02-07,99861.5625,100134.62249699999
4805,2019-02-08,99861.5625,100134.29251099999
4806,2019-02-11,99861.5625,100134.142517
4807,2019-02-12,99861.5625,100130.662506
4808,2019-02-13,99861.5625,100129.772522
4809,2019-02-14,99861.5625,100130.38250699999
4810,2019-02-15,99861.5625,100127.392517
4811,2019-02-19,99861.5625,100126.912506
4812,2019-02-20,99861.5625,100126.352508
4813,2019-02-21,99861.5625,100127.34249899999
4814,2019-02-22,99861.5625,100125.62249699999
4815,2019-02-25,99861.5625,100125.242523
4816,2019-02-26,99861.5625,100125.442505
4817,2019-02-27,99861.5625,100125.5625
4818,2019-02-28,99861.5625,100126.08251899999
4819,2019-03-01,99861.5625,100142.022491
4820,2019-03-04,99861.5625,100143.04251
4821,2019-03-05,99861.5625,100143.422515
4822,2019-03-06,99861.5625,100145.112517
4823,2019-03-07,99861.5625,100147.43249400001
4824,2019-03-08,99861.5625,100147.98251300001
4825,2019-03-11,99861.5625,100144.002502
4826,2019-03-12,99861.5625,100142.952514
4827,2019-03-13,99861.5625,100141.102508
4828,2019-03-14,99861.5625,100141.2825
4829,2019-03-15,99861.5625,100141.13250600001
4830,2019-03-18,99861.5625,100140.112517
4831,2019-03-19,99861.5625,100140.04251
4832,2019-03-20,99861.5625,100140.892516
4833,2019-03-21,99861.5625,100137.712493
4834,2019-03-22,99861.5625,100143.192504
4835,2019-03-25,99861.5625,100143.402495
4836,2019-03-26,99861.5625,100141.322509
4837,2019-03-27,99861.5625,100142.79251
4838,2019-03-28,99861.5625,100141.73251300001
4839,2019-03-29,99861.5625,100139.962493
4840,2019-04-01,99861.5625,100136.612517
4841,2019-04-02,99861.5625,100136.472503
4842,2019-04-03,99861.5625,100136.022491
4843,2019-04-04,99861.5625,100135.26251100001
4844,2019-04-05,99861.5625,100133.872497
4845,2019-04-08,99861.5625,100133.652495
4846,2019-04-09,99861.5625,100135.13250600001
4847,2019-04-10,99861.5625,100134.152495
4848,2019-04-11,99861.5625,100134.23251300001
4849,2019-04-12,99861.5625,100132.2825
4850,2019-04-15,99861.5625,100132.472503
4851,2019-04-16,99861.5625,100132.2825
4852,2019-04-17,99861.5625,100132.992492
4853,2019-04-18,99861.5625,100132.422515
4854,2019-04-22,99861.5625,100132.172515
4855,2019-04-23,99861.5625,100129.562499
4856,2019-04-24,99861.5625,100130.212493
4857,2019-04-25,99861.5625,100130.392516
4858,2019-04-26,99861.5625,100129.0325
4859,2019-04-29,99861.5625,100128.572509
4860,2019-04-30,99861.5625,100128.422515
4861,2019-05-01,99861.5625,100130.63250600001
4862,2019-05-02,99861.5625,100131.26251100001
4863,2019-05-03,99861.5625,100128.412505
4864,2019-05-06,99861.5625,100129.622497
4865,2019-05-07,99861.5625,100134.51251100001
4866,2019-05-08,99861.5625,100134.912505
4867,2019-05-09,99861.5625,100135.7825
4868,2019-05-10,99861.5625,100134.342498
4869,2019-05-13,99861.5625,100141.582519
4870,2019-05-14,99861.5625,100139.04251
4871,2019-05-15,99861.5625,100137.38250600001
4872,2019-05-16,99861.5625,100134.742492
4873,2019-05-17,99861.5625,100136.602508
4874,2019-05-20,99861.5625,100138.492492
4875,2019-05-21,99861.5625,100135.93249400001
4876,2019-05-22,99861.5625,100136.812499
4877,2019-05-23,99861.5625,100140.30248900001
4878,2019-05-24,99861.5625,100139.662505
4879,2019-05-28,99861.5625,100142.29251
4880,2019-05-29,99861.5625,100144.172515
4881,2019-05-30,99861.5625,100143.412505
4882,2019-05-31,99861.5625,100147.172515
4883,2019-06-03,99861.5625,100147.872497
4884,2019-06-04,99861.5625,100141.912505
4885,2019-06-05,99861.5625,100139.48251300001
4886,2019-06-06,99861.5625,100137.642516
4887,2019-06-07,99861.5625,100134.79251
4888,2019-06-10,99861.5625,100133.472503
4889,2019-06-11,99861.5625,100133.54251
4890,2019-06-12,99861.5625,100134.05248900001
4891,2019-06-13,99861.5625,100132.862517
4892,2019-06-14,99861.5625,100133.18249400001
4893,2019-06-17,99861.5625,100133.072509
4894,2019-06-18,99861.5625,100130.04251
4895,2019-06-19,99861.5625,100129.38250600001
4896,2019-06-20,99861.5625,100126.582519
4897,2019-06-21,99861.5625,100128.442504
4898,2019-06-24,99861.5625,100128.80248900001
4899,2019-06-25,99861.5625,100131.68249400001
4900,2019-06-26,99861.5625,100131.972503
4901,2019-06-27,99861.5625,100130.942504
4902,2019-06-28,99861.5625,100129.442504
4903,2019-07-01,99861.5625,100126.7825
4904,2019-07-02,99861.5625,100126.01251100001
4905,2019-07-03,99861.5625,100123.642516
4906,2019-07-05,99861.5625,100123.98251300001
4907,2019-07-08,99861.5625,100125.622497
4908,2019-07-09,99861.5625,100125.252502
4909,2019-07-10,99861.5625,100123.832519
4910,2019-07-11,99861.5625,100123.13250600001
4911,2019-07-12,99861.5625,100121.79251
4912,2019-07-15,99861.5625,100121.692504
4913,2019-07-16,99861.5625,100122.662505
4914,2019-07-17,99861.5625,100124.702514
4915,2019-07-18,99861.5625,100123.612517
4916,2019-07-19,99861.5625,100125.272491
4917,2019-07-22,99861.5625,100124.54251
4918,2019-07-23,99861.5625,100122.412505
4919,2019-07-24,99861.5625,100121.002502
4920,2019-07-25,99861.5625,100122.442504
4921,2019-07-26,99861.5625,100120.43249400001
4922,2019-07-29,99861.5625,100120.98251300001
4923,2019-07-30,99861.5625,100121.722503
4924,2019-07-31,99861.5625,100125.01251100001
4925,2019-08-01,99861.5625,100127.602508
4926,2019-08-02,99861.5625,100129.822509
