,Date,Positive,Negative
0,951206400.0,10.625,
1,953280000.0,,-3.1875
2,955695600.0,4.84375,
3,960188400.0,,-3.53125
4,962348400.0,6.046875,
5,963471600.0,,-7.046875
6,965026800.0,7.4375,
7,966582000.0,,-2.375
8,968828400.0,,-4.859375
9,973584000.0,,-8.265625
10,974793600.0,1.375,
11,980323200.0,,-4.550003000000004
12,981964800.0,,-13.409995999999992
13,987404400.0,5.889999000000003,
14,992502000.0,,-1.81999900000001
15,996822000.0,,-5.559997999999993
16,998290800.0,,-6.850006000000008
17,1004079600.0,,-3.349998999999997
18,1004601600.0,3.75,
19,1005033600.0,1.9800039999999939,
20,1008316800.0,5.369995000000003,
21,1010390400.0,,-3.939994999999996
22,1011254400.0,0.14000000000000057,
23,1015228800.0,,-1.3000040000000013
24,1017907200.0,,-19.760002
25,1029394800.0,,-5.829993999999999
26,1032332400.0,0.40000200000000063,
27,1034751600.0,2.4099959999999925,
28,1040025600.0,3.0800020000000075,
29,1041926400.0,,-7.169999000000004
30,1043654400.0,1.4199990000000042,
31,1047974400.0,9.540000000000006,
32,1060153200.0,4.0,
33,1061276400.0,,-0.25
34,1064559600.0,4.360000999999997,
35,1066114800.0,7.599998999999997,
36,1078992000.0,2.4299999999999926,
37,1081234800.0,,-2.6600039999999865
38,1083308400.0,0.5600049999999896,
39,1085727600.0,,-0.35999999999999943
40,1089097200.0,,-1.4100040000000007
41,1093503600.0,0.05999800000000732,
42,1097823600.0,3.760002,
43,1099555200.0,3.6600030000000032,
44,1104998400.0,1.8099979999999931,
45,1107763200.0,,-1.5400010000000037
46,1111392000.0,0.3099980000000073,
47,1116486000.0,,-0.04999600000000726
48,1119855600.0,3.0199970000000036,
49,1121151600.0,0.20000400000000695,
50,1124262000.0,1.4700019999999938,
51,1126162800.0,,-3.880004999999997
52,1128582000.0,0.3899990000000031,
53,1130918400.0,4.630004999999997,
54,1135929600.0,3.6199949999999887,
55,1136793600.0,,-2.569999999999993
56,1139385600.0,3.2000050000000044,
57,1140163200.0,,-0.27999900000000366
58,1144825200.0,2.9199979999999925,
59,1145602800.0,,-4.340003999999993
60,1147935600.0,0.08000200000000746,
61,1151910000.0,,-3.9100030000000032
62,1153119600.0,4.140006999999997,
63,1154329200.0,13.160003000000003,
64,1168243200.0,2.25,
65,1168934400.0,,-2.680008000000015
66,1172649600.0,3.300003000000004,
67,1175670000.0,5.890000000000015,
68,1181286000.0,4.9900049999999965,
69,1184310000.0,,-6.360000000000014
70,1185519600.0,5.199996999999996,
71,1190185200.0,,-4.550002999999975
72,1193036400.0,,-0.22999599999999987
73,1196928000.0,,-3.7200010000000248
74,1199347200.0,,-7.860000999999983
75,1207119600.0,0.75,
76,1211871600.0,,-10.400001000000003
77,1217487600.0,,-4.110000999999997
78,1220598000.0,,-32.450005000000004
79,1229500800.0,,-6.719993000000002
80,1232006400.0,,-3.19000299999999
81,1237446000.0,8.54000099999999,
82,1245740400.0,3.5299990000000037,
83,1247727600.0,11.129997000000003,
84,1257148800.0,5.870002999999997,
85,1258012800.0,0.20999899999999627,
86,1264406400.0,1.3400040000000075,
87,1266825600.0,5.009994999999989,
88,1273042800.0,,-4.729996
89,1276844400.0,,-7.9100039999999865
90,1277881200.0,6.679999999999993,
91,1280127600.0,,-3.0400000000000063
92,1282287600.0,3.560005000000004,
93,1284102000.0,18.400001000000003,
94,1299830400.0,3.909988999999996,
95,1301900400.0,,-0.9899910000000034
96,1306220400.0,,-0.35000599999997917
97,1309503600.0,,-1.489990000000006
98,1311836400.0,,-8.310005000000004
99,1314860400.0,,-10.180000000000007
100,1316761200.0,9.879997000000003,
101,1318834800.0,,-1.7900010000000037
102,1321862400.0,5.700005000000004,
103,1323331200.0,11.389991000000009,
104,1334127600.0,,-3.7099910000000023
105,1340002800.0,10.699996999999996,
106,1349938800.0,,-2.0699920000000134
107,1355126400.0,,-2.550003000000004
108,1356940800.0,6.33000100000001,
109,1357200000.0,3.729996,
110,1361865600.0,5.119995000000017,
111,1362556800.0,,-0.3399960000000135
112,1366354800.0,4.770004,
113,1367305200.0,1.929992999999996,
114,1370502000.0,6.190001999999993,
115,1373612400.0,,-1.3300009999999816
116,1376636400.0,3.279998000000006,
117,1378969200.0,,-1.940002000000021
118,1381215600.0,6.460007000000019,
119,1382079600.0,4.639998999999989,
120,1386921600.0,2.679992999999996,
121,1387440000.0,,-2.1199949999999887
122,1390809600.0,6.0,
123,1393315200.0,0.050003000000003794,
124,1395990000.0,4.059996999999981,
125,1396508400.0,,-4.910002999999989
126,1396940400.0,3.7400049999999965,
127,1399359600.0,4.559998000000007,
128,1406876400.0,6.529998000000006,
129,1408604400.0,,-1.0500030000000038
130,1411542000.0,0.5100099999999941,
131,1414566000.0,5.3300020000000075,
132,1418284800.0,4.339995999999985,
133,1419840000.0,,-9.449996999999996
134,1421395200.0,7.789994000000007,
135,1423209600.0,,-1.2700049999999976
136,1426057200.0,4.860000999999983,
137,1429772400.0,,-0.5099950000000035
138,1433746800.0,3.110001000000011,
139,1437375600.0,,-11.020004
140,1440140400.0,,-0.3499909999999886
141,1444374000.0,0.6900019999999927,
142,1450080000.0,,-8.070007000000004
143,1456214400.0,10.96000699999999,
144,1463382000.0,4.479995000000002,
145,1464246000.0,,-7.850005999999979
146,1467010800.0,11.60000599999998,
147,1468220400.0,,-0.8000030000000038
148,1473663600.0,4.910004000000015,
149,1478764800.0,16.470000999999996,
150,1490166000.0,4.139999999999986,
151,1493103600.0,4.5899960000000135,
152,1498633200.0,2.9700009999999963,
